exp,arm,x_label,x_value,trial,sync_ms,bytes_sent,file_size,change_size,repeats,verify_mismatch,capture_lost
a3,ebpf,repeats,1,0,10.099,4176,10485760,4096,1,0,0
a3,ebpf,repeats,10,0,10.492,41544,10485760,4096,10,0,0
a3,ebpf,repeats,100,0,12.625,415224,10485760,4096,100,0,0
a3,ebpf,repeats,1000,0,44.028,4152024,10485760,4096,1000,0,0
a3,ebpf,repeats,10000,0,268.385,41520024,10485760,4096,10000,0,0
a3,rsync,repeats,1,0,74.826,19561,10485760,4096,1,0,0
a3,rsync,repeats,10,0,74.992,19561,10485760,4096,10,0,0
a3,rsync,repeats,100,0,75.527,19561,10485760,4096,100,0,0
a3,rsync,repeats,1000,0,75.132,19561,10485760,4096,1000,0,0
a3,rsync,repeats,10000,0,75.77,19561,10485760,4096,10000,0,0
a3,ebpf,repeats,1,1,10.253,4176,10485760,4096,1,0,0
a3,ebpf,repeats,10,1,10.417,41544,10485760,4096,10,0,0
a3,ebpf,repeats,100,1,12.65,415224,10485760,4096,100,0,0
a3,ebpf,repeats,1000,1,44.287,4152024,10485760,4096,1000,0,0
a3,ebpf,repeats,10000,1,265.574,41520024,10485760,4096,10000,0,0
a3,rsync,repeats,1,1,75.623,19561,10485760,4096,1,0,0
a3,rsync,repeats,10,1,75.176,19561,10485760,4096,10,0,0
a3,rsync,repeats,100,1,75.617,19561,10485760,4096,100,0,0
a3,rsync,repeats,1000,1,75.116,19561,10485760,4096,1000,0,0
a3,rsync,repeats,10000,1,75.812,19561,10485760,4096,10000,0,0
a3,ebpf,repeats,1,2,10.165,4176,10485760,4096,1,0,0
a3,ebpf,repeats,10,2,10.279,41544,10485760,4096,10,0,0
a3,ebpf,repeats,100,2,12.759,415224,10485760,4096,100,0,0
a3,ebpf,repeats,1000,2,42.938,4152024,10485760,4096,1000,0,0
a3,ebpf,repeats,10000,2,275.35,41520024,10485760,4096,10000,0,0
a3,rsync,repeats,1,2,75.493,19561,10485760,4096,1,0,0
a3,rsync,repeats,10,2,75.685,19561,10485760,4096,10,0,0
a3,rsync,repeats,100,2,75.521,19561,10485760,4096,100,0,0
a3,rsync,repeats,1000,2,75.771,19561,10485760,4096,1000,0,0
a3,rsync,repeats,10000,2,75.011,19561,10485760,4096,10000,0,0
